check,estimate,standard_error,ci_low,ci_high,p_value
classical_standard_error,357.4524235967377,71.08777373426749,218.122947336441,496.7818998570343,4.947829990963749e-07
winsorized_outcome,357.2772953726537,70.86634796640999,218.38180564260688,496.1727851027006,4.617401039636366e-07
placebo_baseline_difference,57.7155201400019,120.46057376404202,-178.38286599455094,293.8139062745547,0.6318506047330782
leave_out_east,329.383695383835,81.23789536705964,170.16034628456484,488.60704448310514,5.0229354123853494e-05
leave_out_north,371.102606294893,80.8586516753906,212.62256117265815,529.5826514171279,4.442609770180393e-06
leave_out_south,326.549226868915,87.23013428419345,155.58130530530326,497.51714843252677,0.00018144793804878627
leave_out_west,403.20171972899846,81.16488516028038,244.12146800551946,562.2819714524775,6.77563170276497e-07
